# Replay 1x, NO pattern: controller at the DEMO-1 launch point (elev override 5,100 ft), cylinders ops area 1 nm SFC-3,000 + advisory area 3 nm SFC-3,000 ft above controller.
--------- beginning of main
09-23 19:40:11.366 I/Sentry  ( 6961): REPLAY start: Demo encounter: DEMO-1 vs N388KM at 1.0x
09-23 19:40:11.652 I/Sentry  ( 6961): SPEAK [info] Replay starting
09-23 19:40:16.374 I/Sentry  ( 6961): CALLOUT[replay] 11:51:55 PDT INFO SELECTION: No drone selected. Protecting this controller.
09-23 19:40:16.660 I/Sentry  ( 6961): SPEAK [info] No drone selected. Protecting this controller.
09-23 19:41:17.414 I/Sentry  ( 6961): CALLOUT[replay] 11:52:56 PDT CAUTION CYLINDER_ENTRY: Traffic entering advisory area, N388KM, southwest, 3.0 miles, 2,800 above, converging.
09-23 19:41:17.952 I/Sentry  ( 6961): SPEAK [caution] Traffic entering advisory area, N 3 8 8 K M, southwest, 3.0 miles, 2,800 above, converging.
09-23 19:41:24.417 I/Sentry  ( 6961): CALLOUT[replay] 11:53:03 PDT WARNING PREDICTIVE: Warning. Traffic, N388KM, southwest, 2.6 miles, 2,700 above, converging, closest 2,500 feet in 52 seconds.
09-23 19:41:27.049 I/Sentry  ( 6961): SPEAK [warning] Warning. Traffic, N 3 8 8 K M, southwest, 2.6 miles, 2,700 above, converging, closest 2,500 feet in 52 seconds.
09-23 19:41:44.433 I/Sentry  ( 6961): CALLOUT[replay] 11:53:23 PDT WARNING TFR_ENTRY: Traffic entering TFR 0/0000, N388KM, southwest, 1.8 miles, 2,700 above, converging.
09-23 19:41:45.223 I/Sentry  ( 6961): SPEAK [warning] Traffic entering TFR 0 0000, N 3 8 8 K M, southwest, 1.8 miles, 2,700 above, converging.
09-23 19:42:02.449 I/Sentry  ( 6961): CALLOUT[replay] 11:53:41 PDT WARNING CYLINDER_ENTRY: Traffic entering ops area, N388KM, south, 6,000 feet, 2,700 above, converging.
09-23 19:42:03.233 I/Sentry  ( 6961): SPEAK [warning] Traffic entering ops area, N 3 8 8 K M, south, 6,000 feet, 2,700 above, converging.
09-23 19:42:22.461 I/Sentry  ( 6961): CALLOUT[replay] 11:54:01 PDT WARNING PREDICTIVE: Warning. Traffic, N388KM, southeast, 1,400 feet, 2,600 above, converging, closest 1,400 feet in 1 second.
09-23 19:42:23.248 I/Sentry  ( 6961): SPEAK [warning] Warning. Traffic, N 3 8 8 K M, southeast, 1,400 feet, 2,600 above, converging, closest 1,400 feet in 1 second.
09-23 19:43:30.497 I/Sentry  ( 6961): CALLOUT[replay] 11:55:09 PDT INFO CLEAR: N388KM clear, diverging.
09-23 19:43:30.785 I/Sentry  ( 6961): SPEAK [info] N 3 8 8 K M clear, diverging.
09-23 19:43:52.507 I/Sentry  ( 6961): REPLAY finished
09-23 19:43:52.511 I/Sentry  ( 6961): ARMED (live)
09-23 19:43:52.514 I/Sentry  ( 6961): CALLOUT[live] 19:43:52 INFO SYSTEM: Sentry armed
09-23 19:43:52.800 I/Sentry  ( 6961): SPEAK [info] Sentry armed
