--------- beginning of main
09-23 16:55:02.848 I/Sentry  ( 6641): REPLAY start: Demo encounter: DEMO-1 vs N388KM at 1.0x
09-23 16:55:02.853 I/Sentry  ( 6641): CALLOUT[replay] 11:51:50 PDT INFO OWNSHIP_ACQUIRED: Watching DEMO-1
09-23 16:55:03.141 I/Sentry  ( 6641): SPEAK [info] Replay starting
09-23 16:55:04.602 I/Sentry  ( 6641): SPEAK [info] Watching U R 3 1
09-23 16:55:47.881 I/Sentry  ( 6641): CALLOUT[replay] 11:52:35 PDT ADVISORY PROXIMITY: Traffic, N388KM, southwest, 3.0 miles, 100 above, converging.
09-23 16:55:48.217 I/Sentry  ( 6641): SPEAK [advisory] Traffic, N 3 8 8 K M, southwest, 3.0 miles, 100 above, converging.
09-23 16:56:09.895 I/Sentry  ( 6641): CALLOUT[replay] 11:52:57 PDT WARNING PREDICTIVE: Warning. Traffic, N388KM, southwest, 1.9 miles, 100 below, converging, closest 2,700 feet in 40 seconds.
09-23 16:56:10.681 I/Sentry  ( 6641): SPEAK [warning] Warning. Traffic, N 3 8 8 K M, southwest, 1.9 miles, 100 below, converging, closest 2,700 feet in 40 seconds.
09-23 16:56:29.910 I/Sentry  ( 6641): CALLOUT[replay] 11:53:17 PDT WARNING PREDICTIVE: Warning. Traffic, N388KM, southwest, 5,900 feet, 200 below, converging, closest 1,200 feet in 18 seconds.
09-23 16:56:30.695 I/Sentry  ( 6641): SPEAK [warning] Warning. Traffic, N 3 8 8 K M, southwest, 5,900 feet, 200 below, converging, closest 1,200 feet in 18 seconds.
09-23 16:56:35.913 I/Sentry  ( 6641): CALLOUT[replay] 11:53:23 PDT WARNING TFR_ENTRY: Traffic entering TFR 0/0000, N388KM, southwest, 4,700 feet, 300 below, converging.
09-23 16:56:42.058 I/Sentry  ( 6641): SPEAK [warning] Traffic entering TFR 0 0000, N 3 8 8 K M, southwest, 4,700 feet, 300 below, converging.
09-23 16:58:06.968 I/Sentry  ( 6641): CALLOUT[replay] 11:54:54 PDT INFO CLEAR: N388KM clear, diverging.
09-23 16:58:07.254 I/Sentry  ( 6641): SPEAK [info] N 3 8 8 K M clear, diverging.
09-23 16:58:43.986 I/Sentry  ( 6641): REPLAY finished
09-23 16:58:43.988 I/Sentry  ( 6641): ARMED (live)
09-23 16:58:43.988 I/Sentry  ( 6641): CALLOUT[live] 16:58:43 INFO SYSTEM: Sentry armed
09-23 16:58:44.006 I/Sentry  ( 6641): CALLOUT[live] 16:58:43 INFO OWNSHIP_ACQUIRED: Watching DEMO-2
09-23 16:58:44.276 I/Sentry  ( 6641): SPEAK [info] Sentry armed
09-23 16:58:45.654 I/Sentry  ( 6641): SPEAK [info] Watching U R 3 3
