09-24 08:54:30.582 I/Sentry  ( 4815): REPLAY start: Demo encounter: DEMO-1 vs N388KM at 1.0x
09-24 08:54:30.588 I/Sentry  ( 4815): CALLOUT[replay] 11:51:50 PDT INFO SELECTION: Watching DEMO-1 Pilot, this controller's aircraft.
09-24 08:54:30.878 I/Sentry  ( 4815): SPEAK [info] Replay starting
09-24 08:54:32.563 I/Sentry  ( 4815): SPEAK [info] Watching DEMO-1 Pilot, this controller's aircraft.
09-24 08:55:15.612 I/Sentry  ( 4815): CALLOUT[replay] 11:52:35 PDT ADVISORY PROXIMITY: Traffic, N388KM, southwest, 3.0 miles, 100 above, converging.
09-24 08:55:15.953 I/Sentry  ( 4815): SPEAK [advisory] Traffic, N 3 8 8 K M, southwest, 3.0 miles, 100 above, converging.
09-24 08:55:37.626 I/Sentry  ( 4815): CALLOUT[replay] 11:52:57 PDT WARNING PREDICTIVE: Warning. Traffic, N388KM, southwest, 1.9 miles, 100 below, converging, closest 2,700 feet in 40 seconds.
09-24 08:55:38.410 I/Sentry  ( 4815): SPEAK [warning] Warning. Traffic, N 3 8 8 K M, southwest, 1.9 miles, 100 below, converging, closest 2,700 feet in 40 seconds.
09-24 08:55:57.639 I/Sentry  ( 4815): CALLOUT[replay] 11:53:17 PDT WARNING PREDICTIVE: Warning. Traffic, N388KM, southwest, 5,900 feet, 200 below, converging, closest 1,200 feet in 18 seconds.
09-24 08:55:58.425 I/Sentry  ( 4815): SPEAK [warning] Warning. Traffic, N 3 8 8 K M, southwest, 5,900 feet, 200 below, converging, closest 1,200 feet in 18 seconds.
09-24 08:56:03.642 I/Sentry  ( 4815): CALLOUT[replay] 11:53:23 PDT WARNING TFR_ENTRY: Traffic entering TFR 0/0000, N388KM, southwest, 4,700 feet, 300 below, converging.
09-24 08:56:09.725 I/Sentry  ( 4815): SPEAK [warning] Traffic entering TFR 0 0000, N 3 8 8 K M, southwest, 4,700 feet, 300 below, converging.
09-24 08:57:34.702 I/Sentry  ( 4815): CALLOUT[replay] 11:54:54 PDT INFO CLEAR: N388KM clear, diverging.
09-24 08:57:34.987 I/Sentry  ( 4815): SPEAK [info] N 3 8 8 K M clear, diverging.
09-24 08:58:11.722 I/Sentry  ( 4815): REPLAY finished
