# Replay 1x, pattern "DEMO-# Pilot" (drone selected by callsign pattern). Emulator sentry-rc, 2026-09-23.
--------- beginning of main
09-23 19:31:34.521 I/Sentry  ( 4964): REPLAY start: Demo encounter: DEMO-1 vs N388KM at 1.0x
09-23 19:31:34.526 I/Sentry  ( 4964): CALLOUT[replay] 11:51:50 PDT INFO SELECTION: Watching DEMO-1 Pilot.
09-23 19:31:34.812 I/Sentry  ( 4964): SPEAK [info] Replay starting
09-23 19:31:36.298 I/Sentry  ( 4964): SPEAK [info] Watching DEMO-1 Pilot.
09-23 19:32:19.562 I/Sentry  ( 4964): CALLOUT[replay] 11:52:35 PDT ADVISORY PROXIMITY: Traffic, N388KM, southwest, 3.0 miles, 100 above, converging.
09-23 19:32:19.899 I/Sentry  ( 4964): SPEAK [advisory] Traffic, N 3 8 8 K M, southwest, 3.0 miles, 100 above, converging.
09-23 19:32:41.579 I/Sentry  ( 4964): CALLOUT[replay] 11:52:57 PDT WARNING PREDICTIVE: Warning. Traffic, N388KM, southwest, 1.9 miles, 100 below, converging, closest 2,700 feet in 40 seconds.
09-23 19:32:42.366 I/Sentry  ( 4964): SPEAK [warning] Warning. Traffic, N 3 8 8 K M, southwest, 1.9 miles, 100 below, converging, closest 2,700 feet in 40 seconds.
09-23 19:33:01.595 I/Sentry  ( 4964): CALLOUT[replay] 11:53:17 PDT WARNING PREDICTIVE: Warning. Traffic, N388KM, southwest, 5,900 feet, 200 below, converging, closest 1,200 feet in 18 seconds.
09-23 19:33:02.380 I/Sentry  ( 4964): SPEAK [warning] Warning. Traffic, N 3 8 8 K M, southwest, 5,900 feet, 200 below, converging, closest 1,200 feet in 18 seconds.
09-23 19:33:07.599 I/Sentry  ( 4964): CALLOUT[replay] 11:53:23 PDT WARNING TFR_ENTRY: Traffic entering TFR 0/0000, N388KM, southwest, 4,700 feet, 300 below, converging.
09-23 19:33:13.680 I/Sentry  ( 4964): SPEAK [warning] Traffic entering TFR 0 0000, N 3 8 8 K M, southwest, 4,700 feet, 300 below, converging.
09-23 19:34:38.658 I/Sentry  ( 4964): CALLOUT[replay] 11:54:54 PDT INFO CLEAR: N388KM clear, diverging.
09-23 19:34:38.944 I/Sentry  ( 4964): SPEAK [info] N 3 8 8 K M clear, diverging.
09-23 19:35:15.681 I/Sentry  ( 4964): REPLAY finished
09-23 19:35:15.686 I/Sentry  ( 4964): ARMED (live)
09-23 19:35:15.687 I/Sentry  ( 4964): CALLOUT[live] 19:35:15 INFO SYSTEM: Sentry armed
09-23 19:35:15.975 I/Sentry  ( 4964): SPEAK [info] Sentry armed
09-23 19:35:20.701 I/Sentry  ( 4964): CALLOUT[live] 19:35:20 INFO SELECTION: No drone selected. Protecting this controller.
09-23 19:35:20.987 I/Sentry  ( 4964): SPEAK [info] No drone selected. Protecting this controller.
