09-25 13:14:05.505 I/Sentry  ( 5236): Update check: This build (0.4.3) is newer than the latest release (0.4.2)
09-25 13:14:08.441 I/Sentry  ( 5236): Service created
09-25 13:14:08.457 I/Sentry  ( 5236): ARMED (live)
09-25 13:14:08.461 I/Sentry  ( 5236): Resources: measuring every 10 s (4 cores, CLK_TCK 100)
09-25 13:14:08.470 I/Sentry  ( 5236): Selection: bound to 1581DEMO000000000007
09-25 13:14:08.477 I/Sentry  ( 5236): ALERT[live] 13:14:08 INFO SYSTEM/OTHER sound=- banner=NONE: Sentry armed
09-25 13:14:08.497 I/Sentry  ( 5236): Controller GPS listening
09-25 13:14:13.467 I/Sentry  ( 5236): ALERT[live] 13:14:13 INFO SELECTION/OTHER sound=- banner=NONE: Waiting for this controller's aircraft.
09-25 13:14:23.474 I/Sentry  ( 5236): ALERT[live] 13:14:23 CAUTION CONTROLLER_GPS_LOST/OTHER sound=- banner=NONE: Controller GPS unavailable. Nothing protected.
09-25 13:14:29.482 I/Sentry  ( 5236): ALERT[live] 13:14:29 INFO SELECTION/OTHER sound=bound/full banner=POPUP: Watching DEMO-7, this controller's aircraft.
09-25 13:14:29.516 I/Sentry  ( 5236): SOUND bound/full level_default
09-25 13:14:38.494 I/Sentry  ( 5236): ALERT[live] 13:14:38 ADVISORY TRAFFIC/ESCALATION sound=advisory/short banner=POPUP: △ ADVISORY · DEMO33 Helicopter · E 1.3 mi · 0 kt · ≈700 above, level · Not closing S=4.20
09-25 13:14:38.524 I/Sentry  ( 5236): SOUND advisory/short level_default
09-25 13:14:56.501 I/Sentry  ( 5236): ALERT[live] 13:14:56 ADVISORY TFR_ENTRY/OTHER sound=zone/full banner=POPUP: ▣ ENTERING TFR 9/9999 · DEMO33 · E 1.8 mi · 0 kt · ≈700 above, level · Not closing · Clear: move W S=4.20
09-25 13:14:56.530 I/Sentry  ( 5236): SOUND zone/full level_default
09-25 13:15:22.519 I/Sentry  ( 5236): ALERT[live] 13:15:22 INFO TRACK_LOST/OTHER sound=- banner=CANCEL: ○ CLEAR · DEMO33 · Track lost · 
09-25 13:15:35.529 I/Sentry  ( 5236): ALERT[live] 13:15:35 CAUTION OWNSHIP_LOST/OTHER sound=bound/full banner=POPUP: Drone position lost
09-25 13:15:35.548 I/Sentry  ( 5236): SOUND bound/full level_default
09-25 13:15:50.541 I/Sentry  ( 5236): ALERT[live] 13:15:50 CAUTION SELECTION/OTHER sound=- banner=NONE: Waiting for this controller's aircraft.
09-25 13:16:02.552 I/Sentry  ( 5236): ALERT[live] 13:16:02 INFO OWNSHIP_REGAINED/OTHER sound=bound/full banner=POPUP: Drone position regained · watching DEMO-7
09-25 13:16:02.566 I/Sentry  ( 5236): SOUND bound/full level_default
09-25 13:16:47.257 I/Sentry  ( 5791): Power-on: re-armed (Sentry was armed at power-off) (android.intent.action.MY_PACKAGE_REPLACED)
09-25 13:16:47.420 I/Sentry  ( 5791): Service created
09-25 13:16:47.466 I/Sentry  ( 5791): TFRs: loaded 1 from disk cache
09-25 13:16:47.486 I/Sentry  ( 5791): ARMED (live)
09-25 13:16:47.487 I/Sentry  ( 5791): Resources: measuring every 10 s (4 cores, CLK_TCK 100)
09-25 13:16:47.493 I/Sentry  ( 5791): ALERT[live] 13:16:47 INFO SYSTEM/OTHER sound=- banner=NONE: Sentry armed
09-25 13:16:47.498 I/Sentry  ( 5791): ALERT[live] 13:16:47 CAUTION RESTARTED/OTHER sound=bound/full banner=POPUP: Sentry armed after restart
09-25 13:16:47.499 I/Sentry  ( 5791): Selection: bound to 1581DEMO000000000007
09-25 13:16:47.550 I/Sentry  ( 5791): Controller GPS listening
09-25 13:16:47.556 I/Sentry  ( 5791): SOUND bound/full level_default
09-25 13:16:48.491 I/Sentry  ( 5791): ALERT[live] 13:16:48 INFO SELECTION/OTHER sound=bound/full banner=POPUP: Watching DEMO-7, this controller's aircraft.
09-25 13:16:48.514 I/Sentry  ( 5791): SOUND bound/full level_default
09-25 13:17:12.629 I/Sentry  ( 5791): cloud: Failed to connect to /10.0.2.2:18081 (x1)
09-25 13:17:12.754 I/Sentry  ( 5791): fleet: feed error: Failed to connect to /10.0.2.2:18081 (x1)
09-25 13:17:22.517 I/Sentry  ( 5791): ALERT[live] 13:17:22 CAUTION INTERNET_LOST/OTHER sound=internet/full banner=POPUP: Internet offline
09-25 13:17:22.548 I/Sentry  ( 5791): SOUND internet/full level_default
